         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35600    0.014    0.000    0.014    0.000 _internal.py:433(_view_is_safe)
    40810    0.014    0.000    0.014    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.013    0.013 __init__.py:13(<module>)
     7014    0.013    0.000    0.013    0.000 {built-in method __new__ of type object at 0x555d47309240}
        1    0.000    0.000    0.013    0.013 textpath.py:1(<module>)
    30936    0.013    0.000    0.013    0.000 fromnumeric.py:71(<dictcomp>)
        3    0.000    0.000    0.013    0.004 __init__.py:19(<module>)
      928    0.001    0.000    0.012    0.000 __init__.py:2763(_get_metadata)
       30    0.002    0.000    0.012    0.000 __init__.py:759(_rc_params_in_file)
     1036    0.001    0.000    0.012    0.000 abc.py:125(__new__)
    25194    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.012    0.012 optimize.py:20(<module>)
      320    0.000    0.000    0.012    0.000 overrides.py:187(decorator)
        1    0.000    0.000    0.012    0.012 interactiveshell.py:2(<module>)
        1    0.000    0.000    0.012    0.012 ssl_.py:1(<module>)
     9267    0.007    0.000    0.012    0.000 inspect.py:484(unwrap)
        9    0.000    0.000    0.012    0.001 typeconv.py:106(safe_unsafe)
        1    0.000    0.000    0.012    0.012 url.py:1(<module>)
        3    0.000    0.000    0.012    0.004 __init__.py:51(create_module)
        3    0.000    0.000    0.012    0.004 __init__.py:29(load_module)
     2900    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    18160    0.006    0.000    0.012    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.011    0.011 _numdiff.py:1(<module>)
      201    0.004    0.000    0.011    0.000 __init__.py:316(namedtuple)
      382    0.006    0.000    0.011    0.000 doccer.py:177(indentcount_lines)
        3    0.000    0.000    0.011    0.004 __init__.py:340(__init__)
        1    0.000    0.000    0.011    0.011 __init__.py:109(<module>)
